Player 1,Player 2,Partnership Career Span,Partnership Career Start,Partnership Career End,Number Of Partnerships,Unbroken Partnerships,Total Partnership Runs,Highest Partnership,Avg Partnership Per Dismissal,Century Partnerships,Fifty Runs And Over Partnerships,Country
Fawad Alam, Mohammad Sami,2010-2010,2010,2010,1,0,5,5,5,0,0,Pakistan
Imran Farhat, Kamran Akmal,2010-2010,2010,2010,1,0,5,5,5,0,0,Pakistan
Mohammad Irfan, Saeed Ajmal,2013-2013,2013,2013,1,1,5,5*,-,0,0,Pakistan
Mohammad Rizwan, Rafatullah Mohmand,2015-2015,2015,2015,1,0,5,5,5,0,0,Pakistan
Raza Hasan, Sohail Tanvir,2014-2014,2014,2014,1,0,5,5,5,0,0,Pakistan
Saeed Ajmal, Yasir Shah,2011-2011,2011,2011,1,1,5,5*,-,0,0,Pakistan
Shadab Khan, Sohail Tanvir,2017-2017,2017,2017,1,1,5,5*,-,0,0,Pakistan
Abdul Razzaq, Saeed Ajmal,2012-2012,2012,2012,1,0,4,4,4,0,0,Pakistan
Asif Ali, Mohammad Amir,2018-2018,2018,2018,1,1,4,4*,-,0,0,Pakistan
Faheem Ashraf, Sarfraz Ahmed,2017-2017,2017,2017,1,0,4,4,4,0,0,Pakistan
Hammad Azam, Misbah-ul-Haq,2012-2012,2012,2012,1,0,4,4,4,0,0,Pakistan
Imad Wasim, Shadab Khan,2017-2017,2017,2017,1,0,4,4,4,0,0,Pakistan
Mukhtar Ahmed, Sohaib Maqsood,2015-2015,2015,2015,1,0,4,4,4,0,0,Pakistan
Naved-ul-Hasan, Umar Akmal,2010-2010,2010,2010,1,0,4,4,4,0,0,Pakistan
Umar Gul, Zulfiqar Babar,2014-2014,2014,2014,1,0,4,4,4,0,0,Pakistan
Anwar Ali, Mohammad Rizwan,2015-2015,2015,2015,1,0,3,3,3,0,0,Pakistan
Mohammad Amir, Wahab Riaz,2016-2016,2016,2016,1,0,3,3,3,0,0,Pakistan
Saad Nasim, Umar Akmal,2014-2014,2014,2014,1,0,3,3,3,0,0,Pakistan
Saeed Ajmal, Usman Shinwari,2013-2013,2013,2013,1,0,3,3,3,0,0,Pakistan
Shoaib Akhtar, Yasir Arafat,2007-2007,2007,2007,1,1,3,3*,-,0,0,Pakistan
Ahmed Shehzad, Sarfraz Ahmed,2014-2014,2014,2014,1,0,2,2,2,0,0,Pakistan
Asif Ali, Sahibzada Farhan,2018-2018,2018,2018,1,0,2,2,2,0,0,Pakistan
Awais Zia, Shoaib Malik,2012-2012,2012,2012,1,0,2,2,2,0,0,Pakistan
Babar Azam, Shadab Khan,2018-2018,2018,2018,2,0,2,2,1,0,0,Pakistan
Fakhar Zaman, Sahibzada Farhan,2018-2018,2018,2018,1,0,2,2,2,0,0,Pakistan
Fakhar Zaman, Sohail Tanvir,2017-2017,2017,2017,1,0,2,2,2,0,0,Pakistan
Hasan Ali, Mohammad Nawaz (3),2018-2018,2018,2018,1,0,2,2,2,0,0,Pakistan
Mohammad Sami, Umar Gul,2012-2012,2012,2012,1,0,2,2,2,0,0,Pakistan
Naved-ul-Hasan, Zulqarnain Haider,2007-2007,2007,2007,1,0,2,2,2,0,0,Pakistan
Rafatullah Mohmand, Shoaib Malik,2015-2015,2015,2015,1,0,2,2,2,0,0,Pakistan
Salman Butt, Shahzaib Hasan,2010-2010,2010,2010,2,0,2,2,1,0,0,Pakistan
Shahzaib Hasan, Umar Akmal,2010-2010,2010,2010,1,0,2,2,2,0,0,Pakistan
Abdur Rehman, Wahab Riaz,2011-2011,2011,2011,1,0,1,1,1,0,0,Pakistan
Ahmed Shehzad, Sohail Tanvir,2012-2012,2012,2012,1,0,1,1,1,0,0,Pakistan
Aizaz Cheema, Shahid Afridi,2012-2012,2012,2012,1,0,1,1,1,0,0,Pakistan
Anwar Ali, Sohaib Maqsood,2015-2015,2015,2015,1,0,1,1,1,0,0,Pakistan
Faheem Ashraf, Mohammad Hafeez,2018-2018,2018,2018,1,0,1,1,1,0,0,Pakistan
Iftikhar Ahmed, Shoaib Malik,2016-2016,2016,2016,1,1,1,1*,-,0,0,Pakistan
Imad Wasim, Wahab Riaz,2016-2016,2016,2016,1,0,1,1,1,0,0,Pakistan
Imran Khan (1), Sohail Tanvir,2015-2015,2015,2015,1,0,1,1,1,0,0,Pakistan
Khalid Latif, Salman Butt,2008-2008,2008,2008,1,0,1,1,1,0,0,Pakistan
Saeed Ajmal, Zulqarnain Haider,2010-2010,2010,2010,1,0,1,1,1,0,0,Pakistan
Shahid Afridi, Umar Amin,2013-2013,2013,2013,1,0,1,1,1,0,0,Pakistan
Sohail Tanvir, Umar Gul,2008-2014,2008,2014,2,1,1,1,1,0,0,Pakistan
Abdul Razzaq, Sohaib Maqsood,2013-2013,2013,2013,1,0,0,0,0,0,0,Pakistan
Abdur Rehman, Saeed Ajmal,2013-2013,2013,2013,1,0,0,0,0,0,0,Pakistan
Ahmed Shehzad, Shakeel Ansar,2012-2012,2012,2012,1,0,0,0,0,0,0,Pakistan
Anwar Ali, Shoaib Malik,2015-2015,2015,2015,1,1,0,0*,-,0,0,Pakistan
Babar Azam, Imad Wasim,2018-2018,2018,2018,1,0,0,0,0,0,0,Pakistan
Faheem Ashraf, Hasan Ali,2018-2018,2018,2018,1,0,0,0,0,0,0,Pakistan
Fawad Alam, Mohammad Hafeez,2010-2010,2010,2010,1,0,0,0,0,0,0,Pakistan
Imad Wasim, Kamran Akmal,2017-2017,2017,2017,1,0,0,0,0,0,0,Pakistan
Imran Farhat, Misbah-ul-Haq,2010-2010,2010,2010,1,0,0,0,0,0,0,Pakistan
Imran Farhat, Umar Akmal,2010-2010,2010,2010,1,0,0,0,0,0,0,Pakistan
Khurram Manzoor, Mohammad Hafeez,2016-2016,2016,2016,1,0,0,0,0,0,0,Pakistan
Mohammad Amir, Mohammad Irfan,2016-2016,2016,2016,1,0,0,0,0,0,0,Pakistan
Mohammad Nawaz (3), Umar Amin,2018-2018,2018,2018,1,0,0,0,0,0,0,Pakistan
Mohammad Nawaz (3), Usman Shinwari,2018-2018,2018,2018,1,0,0,0,0,0,0,Pakistan
Mohammad Rizwan, Wahab Riaz,2015-2015,2015,2015,1,0,0,0,0,0,0,Pakistan
Shahzaib Hasan, Shoaib Malik,2009-2009,2009,2009,1,0,0,0,0,0,0,Pakistan
Shoaib Akhtar, Umar Gul,2010-2010,2010,2010,1,0,0,0,0,0,0,Pakistan
Shoaib Malik, Wahab Riaz,2016-2016,2016,2016,1,0,0,0,0,0,0,Pakistan
Umar Gul, Zulqarnain Haider,2010-2010,2010,2010,1,0,0,0,0,0,0,Pakistan
DPMD Jayawardene, KC Sangakkara,2007-2014,2007,2014,22,2,822,166,41.1,2,3,Sri Lanka
TM Dilshan, DPMD Jayawardene,2007-2014,2007,2014,31,2,766,145,26.41,1,3,Sri Lanka
TM Dilshan, KC Sangakkara,2006-2014,2006,2014,22,1,626,74,29.8,0,5,Sri Lanka
TM Dilshan, MDKJ Perera,2013-2016,2013,2016,22,0,606,100,27.54,1,2,Sri Lanka
TM Dilshan, ST Jayasuriya,2006-2010,2006,2010,15,0,455,124,30.33,1,3,Sri Lanka
LD Chandimal, TM Dilshan,2010-2016,2010,2016,17,0,430,110,25.29,1,1,Sri Lanka
ST Jayasuriya, DPMD Jayawardene,2006-2011,2006,2011,14,1,321,87,24.69,0,3,Sri Lanka
MD Gunathilaka, BKG Mendis,2016-2018,2016,2018,7,0,300,98,42.85,0,3,Sri Lanka
MDKJ Perera, WU Tharanga,2017-2018,2017,2018,7,0,297,109,42.42,1,2,Sri Lanka
AD Mathews, NLTC Perera,2010-2016,2010,2016,13,4,292,44,32.44,0,0,Sri Lanka
AD Mathews, KC Sangakkara,2009-2014,2009,2014,11,1,255,68*,25.5,0,2,Sri Lanka
CK Kapugedera, AD Mathews,2009-2016,2009,2016,8,0,245,80,30.62,0,2,Sri Lanka
AD Mathews, HDRL Thirimanne,2012-2016,2012,2016,10,0,235,58,23.5,0,1,Sri Lanka
ST Jayasuriya, KC Sangakkara,2007-2010,2007,2010,7,0,227,81,32.42,0,2,Sri Lanka
ST Jayasuriya, WU Tharanga,2006-2007,2006,2007,7,0,218,82,31.14,0,2,Sri Lanka
KMDN Kulasekara, NLTC Perera,2012-2016,2012,2016,8,2,210,44,35,0,0,Sri Lanka
LD Chandimal, MDKJ Perera,2013-2018,2013,2018,7,0,204,54,29.14,0,1,Sri Lanka
LD Chandimal, AD Mathews,2010-2018,2010,2018,9,1,195,60*,24.37,0,2,Sri Lanka
LD Chandimal, CK Kapugedera,2010-2016,2010,2016,5,0,182,52,36.4,0,1,Sri Lanka
TM Dilshan, AD Mathews,2009-2016,2009,2016,8,3,175,42*,35,0,0,Sri Lanka
CK Kapugedera, TAM Siriwardana,2015-2017,2015,2017,8,0,167,55,20.87,0,1,Sri Lanka
MDKJ Perera, KC Sangakkara,2013-2014,2013,2014,4,0,156,78,39,0,1,Sri Lanka
NLTC Perera, MD Shanaka,2016-2018,2016,2018,6,2,156,65*,39,0,1,Sri Lanka
TM Dilshan, BMAJ Mendis,2011-2012,2011,2012,3,1,149,104*,74.5,1,0,Sri Lanka
TM Dilshan, LPC Silva,2006-2009,2006,2009,5,0,147,50,29.4,0,1,Sri Lanka
AD Mathews, BMAJ Mendis,2012-2013,2012,2013,3,0,146,66,48.66,0,2,Sri Lanka
DM de Silva, N Dickwella,2017-2017,2017,2017,3,0,141,71,47,0,2,Sri Lanka
NLTC Perera, KC Sangakkara,2010-2014,2010,2014,6,2,140,56*,35,0,1,Sri Lanka
DPMD Jayawardene, LPC Silva,2007-2009,2007,2009,6,1,135,53,27,0,1,Sri Lanka
N Dickwella, WU Tharanga,2017-2017,2017,2017,7,0,128,36,18.28,0,0,Sri Lanka
DPMD Jayawardene, NLTC Perera,2010-2014,2010,2014,4,1,128,59*,42.66,0,2,Sri Lanka
LD Chandimal, DPMD Jayawardene,2010-2013,2010,2013,4,0,127,59,31.75,0,1,Sri Lanka
LD Chandimal, DM de Silva,2016-2018,2016,2018,4,0,123,53,30.75,0,1,Sri Lanka
TM Dilshan, CK Kapugedera,2008-2016,2008,2016,8,1,123,28,17.57,0,0,Sri Lanka
TM Dilshan, GSNFG Jayasuriya,2015-2016,2015,2016,6,0,121,70,20.16,0,1,Sri Lanka
TM Dilshan, NLTC Perera,2010-2016,2010,2016,4,1,119,44,39.66,0,0,Sri Lanka
CK Kapugedera, KC Sangakkara,2006-2009,2006,2009,4,0,115,69,28.75,0,1,Sri Lanka
N Dickwella, EMDY Munaweera,2017-2017,2017,2017,3,0,114,74,38,0,1,Sri Lanka
ST Jayasuriya, ML Udawatte,2008-2009,2008,2009,4,0,113,66,28.25,0,1,Sri Lanka
MDKJ Perera, NLTC Perera,2017-2018,2017,2018,3,0,111,97,37,0,1,Sri Lanka
LD Chandimal, GSNFG Jayasuriya,2015-2016,2015,2016,2,0,110,56,55,0,2,Sri Lanka
BKG Mendis, WU Tharanga,2018-2018,2018,2018,3,0,110,62,36.66,0,1,Sri Lanka
BKG Mendis, MDKJ Perera,2018-2018,2018,2018,4,0,105,85,26.25,0,1,Sri Lanka
MD Gunathilaka, S Samarawickrama,2017-2017,2017,2017,3,0,96,63,32,0,1,Sri Lanka
TM Dilshan, J Mubarak,2007-2009,2007,2009,6,1,94,51*,18.8,0,1,Sri Lanka
BMAJ Mendis, KC Sangakkara,2012-2013,2012,2013,2,0,94,94,47,0,1,Sri Lanka
DPMD Jayawardene, CK Kapugedera,2006-2010,2006,2010,4,0,91,28,22.75,0,0,Sri Lanka
NLTC Perera, SMSM Senanayake,2013-2016,2013,2016,5,3,84,27*,42,0,0,Sri Lanka
DPMD Jayawardene, J Mubarak,2008-2009,2008,2009,5,0,81,30,16.2,0,0,Sri Lanka
KMDN Kulasekara, AD Mathews,2009-2017,2009,2017,6,2,78,39*,19.5,0,0,Sri Lanka
DAS Gunaratne, TAM Siriwardana,2016-2017,2016,2017,4,0,75,60,18.75,0,1,Sri Lanka
MD Gunathilaka, MDKJ Perera,2016-2018,2016,2018,2,0,75,58,37.5,0,1,Sri Lanka
DPMD Jayawardene, BMAJ Mendis,2011-2013,2011,2013,3,0,74,63,24.66,0,1,Sri Lanka
KC Sangakkara, LPC Silva,2007-2009,2007,2009,3,0,74,35,24.66,0,0,Sri Lanka
DPMD Jayawardene, AD Mathews,2009-2014,2009,2014,7,1,73,25,12.16,0,0,Sri Lanka
AD Mathews, MDKJ Perera,2013-2017,2013,2017,4,0,73,29,18.25,0,0,Sri Lanka
LD Chandimal, KC Sangakkara,2011-2014,2011,2014,4,0,71,26,17.75,0,0,Sri Lanka
CK Kapugedera, NLTC Perera,2010-2017,2010,2017,5,1,70,58,17.5,0,1,Sri Lanka
MDKJ Perera, S Prasanna,2013-2017,2013,2017,3,0,70,33,23.33,0,0,Sri Lanka
BKG Mendis, NLTC Perera,2018-2018,2018,2018,2,0,68,51,34,0,1,Sri Lanka
KC Sangakkara, HDRL Thirimanne,2013-2014,2013,2014,3,0,68,37,22.66,0,0,Sri Lanka
NLTC Perera, HDRL Thirimanne,2012-2014,2012,2014,5,1,61,36,15.25,0,0,Sri Lanka
TM Dilshan, EMDY Munaweera,2012-2012,2012,2012,2,1,60,54,60,0,1,Sri Lanka
TM Dilshan, HDRL Thirimanne,2014-2016,2014,2016,3,0,59,42,19.66,0,0,Sri Lanka
AD Mathews, S Prasanna,2014-2017,2014,2017,3,0,57,39,19,0,0,Sri Lanka
EMDY Munaweera, WU Tharanga,2017-2017,2017,2017,2,0,56,41,28,0,0,Sri Lanka
MD Shanaka, TAM Siriwardana,2016-2017,2016,2017,4,0,56,48,14,0,0,Sri Lanka
MD Shanaka, WU Tharanga,2018-2018,2018,2018,3,0,56,45,18.66,0,0,Sri Lanka
TM Dilshan, TAM Siriwardana,2016-2016,2016,2016,2,1,55,30,55,0,0,Sri Lanka
DAS Gunaratne, S Prasanna,2017-2017,2017,2017,2,1,55,28*,55,0,0,Sri Lanka
MD Gunathilaka, EMDY Munaweera,2017-2017,2017,2017,3,0,54,43,18,0,0,Sri Lanka
HDRL Thirimanne, KDK Vithanage,2014-2014,2014,2014,1,0,54,54,54,0,1,Sri Lanka
CRD Fernando, SL Malinga,2006-2007,2006,2007,3,0,53,44,17.66,0,0,Sri Lanka
DAS Gunaratne, CK Kapugedera,2017-2017,2017,2017,2,0,52,52,26,0,1,Sri Lanka
DAS Gunaratne, MDKJ Perera,2017-2017,2017,2017,3,0,51,41,17,0,0,Sri Lanka
DPMD Jayawardene, HDRL Thirimanne,2012-2014,2012,2014,2,0,51,30,25.5,0,0,Sri Lanka
J Mubarak, ML Udawatte,2008-2008,2008,2008,1,0,51,51,51,0,1,Sri Lanka
A Dananjaya, MD Shanaka,2017-2018,2017,2018,2,1,50,26,50,0,0,Sri Lanka
DM de Silva, AD Mathews,2015-2017,2015,2017,2,0,50,36,25,0,0,Sri Lanka
EMDY Munaweera, MDKJ Perera,2013-2017,2013,2017,3,0,50,32,16.66,0,0,Sri Lanka
NLTC Perera, TAM Siriwardana,2016-2016,2016,2016,2,0,50,49,25,0,0,Sri Lanka
LD Chandimal, MD Gunathilaka,2016-2016,2016,2016,3,0,49,19,16.33,0,0,Sri Lanka
CK Kapugedera, MF Maharoof,2006-2008,2006,2008,2,1,49,30*,49,0,0,Sri Lanka
RJMGM Rupasinghe, KC Sangakkara,2009-2009,2009,2009,1,0,49,49,49,0,0,Sri Lanka
DPMD Jayawardene, MDKJ Perera,2013-2014,2013,2014,4,0,46,25,11.5,0,0,Sri Lanka
J Mubarak, KC Sangakkara,2007-2009,2007,2009,2,1,46,33*,46,0,0,Sri Lanka
CK Kapugedera, MD Shanaka,2015-2016,2015,2016,3,0,45,27,15,0,0,Sri Lanka
J Mubarak, G Wijekoon,2007-2007,2007,2007,1,1,45,45*,-,0,0,Sri Lanka
DAS Gunaratne, S Samarawickrama,2017-2017,2017,2017,2,0,43,38,21.5,0,0,Sri Lanka
AD Mathews, JDF Vandersay,2016-2016,2016,2016,2,2,43,39*,-,0,0,Sri Lanka
S Prasanna, TAM Siriwardana,2016-2017,2016,2017,2,1,43,29,43,0,0,Sri Lanka
MD Gunathilaka, TAM Siriwardana,2016-2016,2016,2016,1,0,42,42,42,0,0,Sri Lanka
DM de Silva, MDKJ Perera,2016-2016,2016,2016,2,0,41,35,20.5,0,0,Sri Lanka
TM Dilshan, HGJM Kulatunga,2008-2008,2008,2008,2,0,41,28,20.5,0,0,Sri Lanka
DAS Gunaratne, KMDN Kulasekara,2017-2017,2017,2017,1,0,41,41,41,0,0,Sri Lanka
CK Kapugedera, S Prasanna,2017-2017,2017,2017,2,1,41,21,41,0,0,Sri Lanka
J Mubarak, WPUJC Vaas,2007-2007,2007,2007,1,0,40,40,40,0,0,Sri Lanka
KC Sangakkara, WU Tharanga,2007-2007,2007,2007,2,0,40,32,20,0,0,Sri Lanka
PC de Silva, MD Shanaka,2017-2017,2017,2017,1,0,39,39,39,0,0,Sri Lanka
LD Chandimal, N Dickwella,2017-2018,2017,2018,3,0,38,20,12.66,0,0,Sri Lanka
SL Malinga, NLTC Perera,2011-2018,2011,2018,2,0,38,37,19,0,0,Sri Lanka
NLTC Perera, S Prasanna,2017-2017,2017,2017,4,1,38,17,12.66,0,0,Sri Lanka
DM de Silva, TAM Siriwardana,2015-2015,2015,2015,1,0,37,37,37,0,0,Sri Lanka
N Dickwella, MD Shanaka,2018-2018,2018,2018,1,0,37,37,37,0,0,Sri Lanka
AD Mathews, MD Shanaka,2016-2016,2016,2016,3,0,37,18,12.33,0,0,Sri Lanka
EMDY Munaweera, SMA Priyanjan,2017-2017,2017,2017,1,0,37,37,37,0,0,Sri Lanka
TM Dilshan, ML Udawatte,2008-2008,2008,2008,1,0,36,36,36,0,0,Sri Lanka
SMA Priyanjan, I Udana,2017-2017,2017,2017,1,1,36,36*,-,0,0,Sri Lanka
MD Shanaka, ML Udawatte,2017-2017,2017,2017,2,0,36,36,18,0,0,Sri Lanka
LD Chandimal, MD Shanaka,2016-2018,2016,2018,4,1,35,19,11.66,0,0,Sri Lanka
TM Dilshan, WPUJC Vaas,2007-2007,2007,2007,1,0,35,35,35,0,0,Sri Lanka
CK Kapugedera, KMDN Kulasekara,2016-2017,2016,2017,4,0,35,20,8.75,0,0,Sri Lanka
LD Chandimal, TAM Siriwardana,2016-2016,2016,2016,4,0,34,22,8.5,0,0,Sri Lanka
LD Chandimal, BKG Mendis,2016-2018,2016,2018,2,0,33,31,16.5,0,0,Sri Lanka
LD Chandimal, HDRL Thirimanne,2012-2016,2012,2016,3,0,33,14,11,0,0,Sri Lanka
CK Kapugedera, J Mubarak,2008-2008,2008,2008,2,0,33,21,16.5,0,0,Sri Lanka
CK Kapugedera, K Weeraratne,2008-2008,2008,2008,2,0,33,21,16.5,0,0,Sri Lanka
CK Kapugedera, SMSM Senanayake,2016-2016,2016,2016,1,0,32,32,32,0,0,Sri Lanka
KMDN Kulasekara, SL Malinga,2009-2017,2009,2017,5,0,32,27,6.4,0,0,Sri Lanka
BKG Mendis, EMDY Munaweera,2017-2017,2017,2017,2,0,32,27,16,0,0,Sri Lanka
DM de Silva, S Prasanna,2016-2017,2016,2017,2,0,30,28,15,0,0,Sri Lanka
TM Dilshan, WU Tharanga,2011-2011,2011,2011,1,0,30,30,30,0,0,Sri Lanka
CU Jayasinghe, KC Sangakkara,2009-2009,2009,2009,1,0,30,30,30,0,0,Sri Lanka
SS Pathirana, S Prasanna,2017-2017,2017,2017,2,0,30,28,15,0,0,Sri Lanka
DM de Silva, GSNFG Jayasuriya,2015-2015,2015,2015,1,0,29,29,29,0,0,Sri Lanka
DM de Silva, PHKD Mendis,2018-2018,2018,2018,1,0,28,28,28,0,0,Sri Lanka
ST Jayasuriya, J Mubarak,2008-2009,2008,2009,2,0,28,26,14,0,0,Sri Lanka
SHT Kandamby, CK Kapugedera,2008-2008,2008,2008,1,0,28,28,28,0,0,Sri Lanka
LHD Dilhara, TM Dilshan,2008-2008,2008,2008,1,0,27,27,27,0,0,Sri Lanka
S Prasanna, MD Shanaka,2016-2016,2016,2016,1,0,27,27,27,0,0,Sri Lanka
LD Chandimal, NLTC Perera,2011-2018,2011,2018,4,0,26,18,6.5,0,0,Sri Lanka
DAS Gunaratne, EMDY Munaweera,2017-2017,2017,2017,3,0,26,13,8.66,0,0,Sri Lanka
DAS Gunaratne, MD Shanaka,2017-2017,2017,2017,1,0,26,26,26,0,0,Sri Lanka
GSNFG Jayasuriya, TAM Siriwardana,2015-2015,2015,2015,1,0,26,26,26,0,0,Sri Lanka
LD Chandimal, DAS Gunaratne,2016-2017,2016,2017,2,1,25,16*,25,0,0,Sri Lanka
B Fernando, CK Kapugedera,2015-2015,2015,2015,1,1,25,25*,-,0,0,Sri Lanka
AD Mathews, TAM Siriwardana,2015-2016,2015,2016,4,0,25,15,6.25,0,0,Sri Lanka
NLTC Perera, I Udana,2018-2018,2018,2018,2,0,25,16,12.5,0,0,Sri Lanka
LD Chandimal, RLB Rambukwella,2016-2016,2016,2016,1,0,24,24,24,0,0,Sri Lanka
KS Lokuarachchi, HDRL Thirimanne,2012-2012,2012,2012,1,0,24,24,24,0,0,Sri Lanka
AD Mathews, RJMGM Rupasinghe,2009-2009,2009,2009,1,0,24,24,24,0,0,Sri Lanka
BKG Mendis, S Prasanna,2017-2017,2017,2017,1,0,24,24,24,0,0,Sri Lanka
TM Dilshan, MD Gunathilaka,2016-2016,2016,2016,3,0,23,11,7.66,0,0,Sri Lanka
DPMD Jayawardene, HGJM Kulatunga,2008-2008,2008,2008,1,0,22,22,22,0,0,Sri Lanka
EMDY Munaweera, KC Sangakkara,2012-2012,2012,2012,1,0,22,22,22,0,0,Sri Lanka
SMA Priyanjan, S Samarawickrama,2017-2017,2017,2017,1,0,22,22,22,0,0,Sri Lanka
CK Kapugedera, WU Tharanga,2006-2017,2006,2017,2,0,21,21,10.5,0,0,Sri Lanka
SL Malinga, WPUJC Vaas,2007-2007,2007,2007,2,0,21,16,10.5,0,0,Sri Lanka
S Prasanna, SMA Priyanjan,2017-2017,2017,2017,1,0,21,21,21,0,0,Sri Lanka
LHD Dilhara, KMDN Kulasekara,2008-2008,2008,2008,1,1,20,20*,-,0,0,Sri Lanka
CU Jayasinghe, DPMD Jayawardene,2009-2009,2009,2009,1,0,20,20,20,0,0,Sri Lanka
PVD Chameera, KMDN Kulasekara,2016-2016,2016,2016,2,0,19,13,9.5,0,0,Sri Lanka
AD Mathews, J Mubarak,2009-2009,2009,2009,2,1,19,16,19,0,0,Sri Lanka
LPC Silva, K Weeraratne,2009-2009,2009,2009,1,1,19,19*,-,0,0,Sri Lanka
RP Arnold, KC Sangakkara,2006-2006,2006,2006,1,0,18,18,18,0,0,Sri Lanka
MS Atapattu, KC Sangakkara,2006-2006,2006,2006,1,0,18,18,18,0,0,Sri Lanka
DM de Silva, CK Kapugedera,2016-2016,2016,2016,1,0,18,18,18,0,0,Sri Lanka
CK Kapugedera, SL Malinga,2006-2006,2006,2006,1,0,18,18,18,0,0,Sri Lanka
KMDN Kulasekara, KC Sangakkara,2009-2014,2009,2014,2,0,18,14,9,0,0,Sri Lanka
KMDN Kulasekara, TAM Siriwardana,2017-2017,2017,2017,1,0,18,18,18,0,0,Sri Lanka
AD Mathews, BKG Mendis,2016-2017,2016,2017,2,0,18,16,9,0,0,Sri Lanka
J Mubarak, LPC Silva,2009-2009,2009,2009,1,0,17,17,17,0,0,Sri Lanka
HMCM Bandara, KMDN Kulasekara,2009-2009,2009,2009,2,0,16,11,8,0,0,Sri Lanka
LD Chandimal, S Prasanna,2016-2016,2016,2016,1,0,16,16,16,0,0,Sri Lanka
DAS Gunaratne, MD Gunathilaka,2017-2017,2017,2017,1,0,16,16,16,0,0,Sri Lanka
DAS Gunaratne, SL Malinga,2017-2017,2017,2017,1,1,16,16*,-,0,0,Sri Lanka
AD Mathews, EMDY Munaweera,2017-2017,2017,2017,1,0,16,16,16,0,0,Sri Lanka
TM Dilshan, K Weeraratne,2008-2008,2008,2008,2,0,15,14,7.5,0,0,Sri Lanka
S Prasanna, JRMVB Sanjaya,2017-2017,2017,2017,1,0,15,15,15,0,0,Sri Lanka
LD Chandimal, RMS Eranga,2012-2012,2012,2012,1,0,14,14,14,0,0,Sri Lanka
LD Chandimal, LPC Silva,2011-2011,2011,2011,1,0,14,14,14,0,0,Sri Lanka
CU Jayasinghe, CK Kapugedera,2009-2010,2009,2010,2,0,14,14,7,0,0,Sri Lanka
SL Malinga, BAW Mendis,2009-2012,2009,2012,4,2,14,5*,7,0,0,Sri Lanka
NLTC Perera, SMA Priyanjan,2017-2017,2017,2017,1,0,14,14,14,0,0,Sri Lanka
DAS Gunaratne, NLTC Perera,2017-2017,2017,2017,1,0,13,13,13,0,0,Sri Lanka
HMRKB Herath, MD Shanaka,2016-2016,2016,2016,1,0,13,13,13,0,0,Sri Lanka
DPMD Jayawardene, KMDN Kulasekara,2011-2011,2011,2011,1,0,13,13,13,0,0,Sri Lanka
KMDN Kulasekara, JRMVB Sanjaya,2017-2017,2017,2017,2,0,13,7,6.5,0,0,Sri Lanka
PVD Chameera, A Dananjaya,2017-2017,2017,2017,2,0,12,6,6,0,0,Sri Lanka
CU Jayasinghe, K Weeraratne,2009-2009,2009,2009,1,0,12,12,12,0,0,Sri Lanka
KMC Bandara, MF Maharoof,2016-2016,2016,2016,1,0,11,11,11,0,0,Sri Lanka
LD Chandimal, I Udana,2018-2018,2018,2018,1,1,11,11*,-,0,0,Sri Lanka
DM de Silva, SMSM Senanayake,2016-2016,2016,2016,1,0,11,11,11,0,0,Sri Lanka
N Dickwella, BKG Mendis,2017-2018,2017,2018,2,0,11,7,5.5,0,0,Sri Lanka
MD Shanaka, JDF Vandersay,2016-2016,2016,2016,1,0,11,11,11,0,0,Sri Lanka
TAM Siriwardana, HDRL Thirimanne,2016-2016,2016,2016,1,0,11,11,11,0,0,Sri Lanka
LD Chandimal, S Randiv,2010-2010,2010,2010,1,0,10,10,10,0,0,Sri Lanka
DM de Silva, SS Pathirana,2016-2016,2016,2016,1,0,10,10,10,0,0,Sri Lanka
PC de Silva, NLTC Perera,2017-2017,2017,2017,1,0,10,10,10,0,0,Sri Lanka
CK Kapugedera, RJMGM Rupasinghe,2009-2009,2009,2009,1,0,10,10,10,0,0,Sri Lanka
SL Malinga, LPC Silva,2006-2006,2006,2006,1,0,10,10,10,0,0,Sri Lanka
AD Mathews, I Udana,2012-2016,2012,2016,2,0,10,5,5,0,0,Sri Lanka
AK Perera, KC Sangakkara,2014-2014,2014,2014,1,0,10,10,10,0,0,Sri Lanka
PVD Chameera, CRD Fernando,2016-2016,2016,2016,1,0,9,9,9,0,0,Sri Lanka
PVD Chameera, MVT Fernando,2017-2017,2017,2017,1,0,9,9,9,0,0,Sri Lanka
DM de Silva, TM Dilshan,2015-2015,2015,2015,1,0,9,9,9,0,0,Sri Lanka
ST de Silva, AD Mathews,2017-2017,2017,2017,2,0,9,8,4.5,0,0,Sri Lanka
MD Gunathilaka, AD Mathews,2016-2016,2016,2016,1,0,9,9,9,0,0,Sri Lanka
CU Jayasinghe, KMDN Kulasekara,2010-2010,2010,2010,1,0,9,9,9,0,0,Sri Lanka
CU Jayasinghe, NLTC Perera,2010-2010,2010,2010,2,1,9,7,9,0,0,Sri Lanka
GSNFG Jayasuriya, AD Mathews,2016-2016,2016,2016,2,0,9,7,4.5,0,0,Sri Lanka
SHT Kandamby, AD Mathews,2009-2009,2009,2009,1,0,9,9,9,0,0,Sri Lanka
CK Kapugedera, HDRL Thirimanne,2016-2016,2016,2016,1,0,9,9,9,0,0,Sri Lanka
